0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
0,1271.87,4691.52,4691.52
1,1271.87,2691.52,4691.52
2,1271.87,191.52,4691.52
3,1271.87,391.52,4691.52
